side,x_mm,y_mm,w_mm,h_mm,row,col
L,10050,600,1700,1000,0,9
L,11850,1700,1700,1000,1,10
L,17200,1000,1000,1700,0,15
L,15450,2800,1700,1000,1,14
L,8250,3900,1700,1000,2,7
L,17250,3900,1700,1000,2,15
L,6450,1700,1700,1000,1,6
L,15450,3900,1700,1000,2,14
L,11850,2800,1700,1000,1,10
L,4650,600,1700,1000,0,4
L,17250,2800,1700,1000,1,15
L,15450,600,1700,1000,0,14
L,2850,1700,1700,1000,1,2
L,13650,600,1700,1000,0,12
L,1050,3900,1700,1000,2,1
L,13650,3900,1700,1000,2,12
L,18300,1000,1000,1700,0,16
L,10050,1700,1700,1000,1,9
L,10050,2800,1700,1000,1,9
L,6450,3900,1700,1000,2,6
L,4650,1700,1700,1000,1,4
L,15450,1700,1700,1000,1,14
L,2850,600,1700,1000,0,2
L,6450,2800,1700,1000,1,6
L,1800,1000,1000,1700,0,1
L,13650,1700,1700,1000,1,12
L,13650,2800,1700,1000,1,12
L,11850,3900,1700,1000,2,10
L,6450,600,1700,1000,0,6
L,700,1000,1000,1700,0,0
L,2850,2800,1700,1000,1,2
L,2850,3900,1700,1000,2,2
L,11850,600,1700,1000,0,10
L,8250,600,1700,1000,0,7
L,8250,2800,1700,1000,1,7
L,8250,1700,1700,1000,1,7
L,1050,2800,1700,1000,1,1
L,10050,3900,1700,1000,2,9
